Names,RF_SpT,SVM_SpT,KNN_SpT,SNR,Adopted_SpT
2MASS J01151621+3130061,d/sdM8,d/sdM8,d/sdM9,40,M7
WISE J01163905-1654205,d/sdM8,d/sdM9,d/sdM8,37,M7
2MASS J01165457-1357342,M9,M9,M9,65,M9
2MASS J01165802+4333081,L6,L6,L6,46,L6
2MASSI J0117474-340325,L0,L0gamma,L1gamma,62,L2
2MASS J01183399+1810542,L5,L3,L5,51,L5
2MUCD 10076,M8,M8,M8,251,M8
2MASS J01205253+1518277,M9,M9,M9,41,M9gamma
SSSPM J0124-4240,M8,M8,M8,154,M8
2MASSI J0125369-343505,L1beta,L1beta,L2,69,L2
2MASS J01273917+2805536,M9,M9,M9,109,M9
SDSS J012743.51+135420.9,L5,L5,L5,40,L5
2MASSW J0129122+351758,L6,L6,L6,32,L6
WISE J01303879+3007134,M5,M4,M5,32,M5
2MASS J01330461-1355271,M8gamma,d/sdM8,M8,51,M8gamma
2MASS J01335299+0033017,M9,M9,M9,51,M8
2MASS J01340281+0508125,L2beta,L1beta,L2beta,54,L2beta
2MASS J01341675-0546530,L2,L2,L2,35,L2
2MASS J01343635-0145444,L1,L2,L2beta,43,L2beta
WISE J013525.64+171503.4,T6,T6,T6,3,T6
2MASSW J0135358+120522,L1beta,L1beta,L1beta,84,L1beta
2MASS J01395085+3427453,L2beta,L2beta,L2,16,L1beta
2MASSW J0141032+180450,L1beta,L1beta,L1beta,138,L1beta
2MASS J01414839-1601196,L5,L5,L6,17,L5
2MASS J01443536-0716142,L3beta,L3beta,L3beta,157,L7
2MASS J01453520-0314117,L9,L9,L9,39,L9
WISE J01453523-0314129,L9,L9,L9,17,L9
2MASS J01460119-4545263,M9,M9,M9,87,M9
LHS 1295,sdM2,sdM2,sdM4,97,sdM2
2MASS J01472702+4731142,L2beta,L2beta,L2beta,57,L2beta
2MASS J01473282-4954478,M8,M8,M8,133,M8
2MASSW J0147334+345311,L2beta,L2beta,L2beta,99,L2beta
WISE J01480249+2311310,M6,M6,M7gamma,55,M6
SIMP J01481626+3712421,d/sdL1,d/sdL1,d/sdL0,39,M8
2MASS J0148386-302439,M8,M8,M8,63,M8beta
2MASS J01490895+2956131,L1beta,L1beta,L1beta,208,L1beta
WISE J015010.89+382724.1,T0,T0,T0,61,T0
2MASS J01514102-0051564,L2beta,L2beta,L2beta,71,L2beta
SDSS J01535423+1404528,M9,L0,M9,86,M9
2MASS J01550354+0950003,L3,L5,L5,113,L5
2MASS J01574939-1146113,M9,M9,M9gamma,40,M9gamma
WISE J01581203+3231579,L3,L5,L3,54,L3
LEHPM 2153,M8,M8,M8,109,M8
2MASS J02055138-0759253,L2,L2,L2,60,L2
SDSS J020608.97+223559.2,T0,T0,T0,30,T0
LEHPM 1-2189,sdM6,sdM6,sdM6,43,sdM7
DENIS J02065660-0735190,M8,M8,M8,125,M8
SDSS J020742.48+000056.2,T4,T4,T4,6,T4
2MASSW J0208236+273740,L6,L6,L6,61,L6
2MASSW J0208549+250048,L5,L5,L5,71,L5
WISE J021010.25+400829.6,T4,T4,T4,14,T5
2MASS J02103857-3015313,L0beta,L0beta,L0beta,46,L0beta
2MASS J02115089+4728300,M7gamma,d/sdM8,M8beta,195,M7gamma
2MASS J02124236+0341004,L1,L1,L1,76,L1
2MASSI J0213288+444445,L1,L1,L1,73,L2beta
2MASS J02151451+0453179,L1,L1,L1gamma,34,L2
2MASSI J0218291-313322,L3,L3,L3,75,L3
LP 649-93,M8beta,M8beta,M8beta,255,M8beta
2MASS J02192196+0506306,L2beta,L2,L2beta,90,L2beta
SSSPM J0219-1939,L1,L1,L1,60,L1
LEHPM 1-2373,sdM6,sdM5,sdM6,41,sdM5
WISE J022322.36-293257.2,T7,T8,T8,3,T8
WISE J02233658+5240060,L1,L1,L1,16,L1
LSPM J0224+1730,esdM5,esdM4,esdM5,44,esdM4
2MASSI J0224367+253704,L1,L3,L2,53,L2
WISE J02260916-1610004,L6gamma,L6gamma,L6gamma,21,L6gamma
2MASS J0226417+264732,d/sdM7,d/sdM7,d/sdM8,44,M7gamma
2MASS J02272104-0112450,M7,M8beta,M8beta,9,M8beta
2MASSW J0228110+253738,L1beta,L1beta,L1,104,L1
2MASS J02292794-0053282,L0beta,L0beta,L0beta,25,L0beta
2MASS J02301551+2704061,L0,L0,L0,110,L1
WISE J023038.90-022554.0,L8,L8,L8,24,L8
DENIS J02304500-0953050,L2beta,L2beta,L2beta,75,L2beta
2MASS J0230565-314430,M6,M6,d/sdM6,33,M6
LEHPM 1-2570,d/sdM5,M5gamma,M6gamma,73,M6gamma
WISE J023318.05+303030.5,T6,T5,T5,6,T5
SDSS J023547.56-084919.8,L1,L1,L1,83,L1
GJ 1048B,L1beta,L1beta,L1beta,160,L1beta
LSPM J0236+2143,sdM4,sdM2,sdM4,45,sdM4
2MASSI J0239424-173547,L0,L0,L0,96,L0
2MASSI J0241536-124106,L2,L2beta,L2,56,L2
2MASSW J0242435+160739,L1,L2beta,L1,47,L1
SDSS J024256.98+212319.6,L7,L6,L6,6,L6
2MASSI J0243137-245329,T5,T6,T6,28,T6
LSPM J0244+1442,sdM4,M4,sdM4,51,sdM4
WISE J024512.62-345047.8,T8,T7,T7,2,T7
2MASS J02481204+2445141,M8,M8,M8,21,M8
LP 771-21,M8,M8,M8beta,49,M8beta
LEHPM 1-2799,esdM0,esdM0,esdM0,17,esdM0
SDSS J02511323+00473631,M8,M8,M8,221,M8
2MASSI J0251148-035245,L2beta,L2beta,L2beta,86,L2beta
2MASS J0253202+271333,M8beta,M8,M8beta,119,M8beta
WISE J02550758+2136180,M8beta,M8beta,M8beta,70,M8beta
2MASS J02594471+2254443,M9,M9,M9,190,L0
2MASS J03023398-1028223,M5,M5,M5,24,M5
WISE J030601.64-033058.4,d/sdM9,d/sdM9,d/sdM9,76,d/sdM9
LEHPM 1-3070,M8,M8,M8,267,M8
2MASSW J0306268+154514,L7gamma,L7,L7,33,L7
WISE J030724.59+290447.4,T7,T6,T7,1,T6
2MASS J0307264+364153,M6,d/sdM6,d/sdM6,38,M6
SDSS J03083243-08105138,M7gamma,d/sdM7,M7gamma,110,M7gamma
2MASSW J0309088-194938,L6,L6,L6,80,L6
WISE J03092961-1752504,M7gamma,M6gamma,M7gamma,18,M7gamma
2MASS J03100053+0726506,M8,M8,M8,202,M8
2MASS J03101401-2756452,L3,L6,L3beta,38,L3beta
SIMP J03162759+2650277,T3,T3,T3,23,T3
AP 301,M7gamma,M7beta,M8beta,52,M8beta
WISE J03184234+0827570,M8beta,M8,M8beta,189,M8
2MASS J03185403-3421292,L7,L7,L7,34,L7
AP 306,M9,M9,M9,71,M9
2MASS J0320141+314504,d/sdM5,d/sdM5,d/sdM5,49,d/sdM5
2MASS J03201710-1026120,M8,M8,M8,120,M8
LP 412-31,M8,M8,M8,72,M8
WISE J032301.86+562558.0,L7gamma,L7,L7,43,L7
2MASS J03231004-4631263,L1gamma,L1gamma,L1gamma,36,L1gamma
WISE J03242166+0631428,M4,M4,M4,22,M4
2MASS J03250136+2253039,L2,L3,L2,135,L3
2MASSW J0326137+295015,L5,L5,L5,76,L5
2MASS J03283463+1129515,M8,M8,M8,296,M8
2MASSI J0328426+230205,L9,L9,L9,36,L9
SDSSp J033035.13-002534.5,L4,L4,L4,33,L4
LEHPM 1-3365,esdM5,esdM6,esdM5,35,esdM5
LP 888-18,M8,M8,M8beta,127,M8
2MASS J03320043-2317496,M8,M8,M8,127,M8
2MASS J03354535+0658058,M8,M8,M8,153,M8
AP 325,M7gamma,M7beta,M7gamma,69,M7gamma
WISE J033651.90+282628.8,T5,T5,T5,8,T5
2MASSW J0337036-175807,L3beta,L3beta,L3beta,80,L7
WISE J033713.43+114824.6,M7,d/sdM5,M7,110,M7
LSPM J0337+3848,sdM4,sdM4,sdM4,31,sdM4
2MASS J03381986-4409446,d/sdM6,d/sdM7,d/sdM6,6,d/sdM6
2MASS J03382862+0001296,d/sdM8,d/sdM8,M8beta,39,M7gamma
2MASS J03383754+1449201,L2beta,L2beta,L2beta,77,L2beta
PSO J054.8149-11.7792,L3gamma,L3,L3gamma,15,L3gamma
2MASS J03432774+3208314,M8beta,M8beta,M8beta,48,M9
Roque 4,L2beta,L0beta,L2beta,22,L2beta
2MASS J03435754+3214488,M9,M9beta,M9gamma,36,M9gamma
SDSS J03440891+0111249,L1,L1,L1,84,L0
