Names,RF_SpT,SVM_SpT,KNN_SpT,SNR,Adopted_SpT
2MASS J15501958-2805237,M7gamma,d/sdM7,M7gamma,71,M7gamma
LSPM J1550+3041,M7beta,M8beta,M8beta,192,M8beta
2MASS J15513546+0151129,M8,M8,M8,20,M8
2MASS J15524857-2621453,M6,d/sdM7,d/sdM7,129,d/sdM7
SDSS J15525232-0035019,d/sdM8,d/sdM8,d/sdM8,45,d/sdM8
2MASSW J1553214+210907,L7,L7beta,L7,34,L7
2MASS J15543602+2724487,L6,L6,L6,35,L6
2MASS J15551960-2751207,M7gamma,M7gamma,M7gamma,61,M7gamma
SDSS J15564435+1723089,L2beta,L2beta,L2beta,75,L2beta
2MASS J15572692-2715094,M6,M4,M6,115,d/sdM6
2MASS J15573270+1752380,M8,M8,M8,118,M8
2MASS J15575011-2952431,L0beta,L0gamma,L2beta,26,L2beta
G 225-36B,M9,M9,M9,117,M9
2MASS J15582376-2721435,d/sdM7,d/sdM5,d/sdM7,143,d/sdM4
2MASS J15591513-2840411,M6,M4,M5,144,M5
2MASS J16002535-2644060,M6,M6,M6,155,M6
2MASS J16005265-2812087,M7gamma,M7gamma,M7gamma,78,M7gamma
2MASS J16005759+3021571,L5,L5,L5,38,L6
WISE J160357.51-044340.4,d/sdM4,d/sdM5,d/sdM4,243,d/sdM4
2MASS J16062665+6837268,L0beta,L2beta,L0beta,18,L2
2MASS J16062870-2856580,M6gamma,M6,M7gamma,72,M6
2MASSI J1607152+312525,M6,M6,M6,73,M6
1608-2306,esdM0,M0,esdM0,20,M0
2MASS J16090168-2740521,M8gamma,M7gamma,M8beta,156,M7gamma
2MASS J16091145+2116587,L2,L2,L2,47,L2
2MASS J16231308+3950419,L2,L2,L2,66,L2
2MASS J16115430-2157020,M8gamma,M8gamma,M8gamma,101,M8gamma
2MASS J16123860+3126489,L1beta,L2beta,L1beta,25,L1beta
2MASS J16130315+6502051,sdM4,sdM5,sdM4,31,sdM4
2MASS J16134550+1708270,M9,L0,L0,150,L1
2MASS J16135698+4019158,L3,L3,L3beta,29,L3beta
SDSS J161459.98+400435.1,L2beta,L2beta,L2beta,29,L0beta
2MASS J16154255+4953211,L6gamma,L6gamma,L6gamma,64,L6gamma
SDSS J161611.36+521328.0,L0,L0beta,L0,66,L1
PSO J244.1180+06.3598,L7,L7,L7,16,L7
SDSS J161731.65+401859.7,L4gamma,L2,L7,20,L2gamma
2MASS J1617425+051529,M8beta,M8beta,M8beta,99,d/sdM8
2MASS J16184503-1321297,L0,L0,L0,158,L0
SDSS J161928.31+005011.9,L1,L1,L1,129,L1
2MASS J16195827-2832276,L0beta,L0,L0beta,16,L0beta
LEHPM 2-1973,M7,d/sdM5,M6,40,M6
GJ 618.1B,L1,L3,L1gamma,77,L1gamma
2MASS J16210822+2938480,d/sdM8,d/sdM8,d/sdM8,58,d/sdM8
LSPM J1623+2212,sdM4,sdM2,sdM4,44,sdM4
WISE J162359.70-050811.4,L1,L1,L1,131,L1
2MASS J16242936+1251451,L0,L0,L0,52,L0
PSO J246.4222+15.4698,T5,T5,T5,5,T5
SDSS J16260303+2113130,L3,L4,L4,82,L4
SIMP J16270845+0546304,M9,M9,M9,21,L0
2MASS J16271142-2348505,M9,M9beta,L0,152,M9gamma
LP 275-39,M6,M6,M6,220,M6
SIMP J16275003+0836036,M9,M9,M9,70,M9gamma
PSO J247.3273+03.5932,T2,T2,T2,55,T2
2MASS J16293704+1415435,M8,M8beta,d/sdM6,7,M8beta
SDSS J163030.53+434404.0,L8,L8,L8,40,L8
SDSS J16311227+32271141,M7,d/sdM7,M7,195,M7
2MASS J16322360+2839567,L0,L0,L0,18,L0
SDSS J163239.34+415004.3,T2,T1,T1,16,T2
HD 149361B,L2beta,L2beta,L2beta,115,L1
2MASSW J1632588-063148,M8,M8,M8,252,M8
LSPM J1633+3733,sdM2,sdM5,sdM5,23,sdM5
SDSS J16351918+42230531,M8gamma,M8,M8,188,M8
SDSSp J163600.79-003452.6,M9,M9,M9,92,M9
WISE J16360571-0440138,M4,M5,d/sdM4,212,d/sdM4
2MASS J16360752+2336011,L1,L1,L1,27,L1
2MASS J16370238+2520386,L4,L4,L4,23,L4
2MASS J16382073+1327354,L2beta,L2beta,L1beta,17,L1beta
2MASS J16390818+2839015,M8beta,M8beta,M8beta,36,M8beta
2MASS J16403561+2922225,d/sdM5,d/sdM5,d/sdM5,15,d/sdM5
2MASS J16403870+5215505,M9,M9,M9,15,L0
2MASS J16404923-2129596,L0beta,L0beta,L0,38,L0
2MASS J16410015+1335591,L0beta,L0beta,L0beta,28,L0beta
2MASS J16443963+2600128,L1,L1,L1,52,M8
2MASS J16452207+3004071,L3,L3,L2,97,L2
2MASS J1646402-130612,M7,d/sdM5,M7,66,d/sdM8
2MASS J16470847+5120088,M9,L0,M9,28,M9
WISE J164715.57+563208.3,L7,L7,L7,32,L7
2MASS J16490419+0444571,M8,M8,M8,200,M8
SDSS J164916.89+464340.0,L2,T0,T0,15,T1
WISE J165311.05+444422.8,T8,T8,T8,3,T8
SDSS J165329.69+623136.5,L2beta,L2beta,L2beta,54,L2beta
SDSS J16545079+3747146,L1,L1,L1,76,L1
2MASSI J1656188+283506,L3,L6,L6,26,L6
2MASS J16573454+1054233,L1,L1,L1,133,L1
2MASS J1657464+624229,M7gamma,M7gamma,M7gamma,29,M8beta
WISE J165842.56+510335.0,L4,L4,L4,66,L3
SDSS J16585026+1820006,M9,L1,M9gamma,68,M9gamma
2MASS J16592987+2055298,M9,M9,M9,22,M9gamma
SDSS J165950.9+351508.0,L1,L1,L1,102,L1
LSPM J1703+5910,M6,d/sdM6,d/sdM6,82,d/sdM6
SDSS J17031670+19063603,M9,M9,L0,41,L0
2MASS J17033593+2119071,M9,M9,M9,43,M9
WISE J170353.06-033748.7,M4,M4,d/sdM4,304,d/sdM4
GJ 9584C,M4,M4,M4,370,M4
DENIS-P J170548.38-051645.7,L1,L1,L1,192,L1
2MASS J17065487-1314396,L4,L2,L3,77,L3
2MASS J1706575-042853,M8beta,M6beta,d/sdM6,37,M8beta
DENIS J1707252-013809,L1,L1,L1,60,L1
2MASSI J1707333+430130,L0,L0,L0,152,L1
2MASS J17081563+2557474,L2gamma,L2gamma,L2gamma,58,L2gamma
SIMP J17084651+2606449,L2beta,L2beta,L2beta,22,L2beta
2MASS J1710181+140105,M6,M6,M6,46,M6
SDSS J17104934+33232518,M8,M8,M8,83,M8
WISE J171104.60+350036.8,T8,T8,T8,2,T7
2MASS J17111353+2326333,L0beta,L0beta,L0beta,89,L0beta
2MASS J17120142+3108217,L6,L6,L6,41,L1gamma
GJ 660.1A,M0,M1,M1,201,sdM2
2MASS J1713369+021911,M5,d/sdM4,M5,32,M5
PM J17137-4535,esdM0,esdM0,esdM0,140,esdM0
2MASS J17145224+2439024,L1,L1,L1,17,L1
WISE J17154570+2547529,M8beta,M8beta,M8beta,40,M8beta
2MASS J17161258+4125143,L5,L3,L2,16,L1gamma
2MASS J17164260+2945536,L2,L3,L2,24,L3
2MASSI J1717045+150953,M8beta,M8,M8beta,64,M8beta
SDSS J171714.10+652622.2,L6,L8,L8,104,L7
SDSS J17175402+64274503,d/sdM8,M8,M8beta,87,M8beta
WISEA J172120.69+464025.9,M9,T0,T0,13,T1
WISE J172134.46+111739.4,T6,T6,T6,3,T6
SDSS J172244.32+632946.8,L1,L2beta,L2beta,59,L2beta
SDSS J17225965+56281455,M8,M8,M8,60,M8
2MASS J17252029-0024508,d/sdM6,d/sdM5,d/sdM6,45,d/sdM6
SDSS J17254384+5325349,M8gamma,M8,M8beta,81,M7gamma
2MASS J17254557+6405005,L1,L2,L1,11,L1
WISE J17262979-0247460,M6,d/sdM6,d/sdM6,18,d/sdM6
WISE J172733.09-155414.2,sdM4,sdM2,sdM4,189,sdM4
WISE J17283590-1136506,M6,d/sdM2,d/sdM6,30,d/sdM6
WISE J17294068+4352165,esdM6,esdM8,esdM8,7,esdM0
SDSS J173101.41+531047.9,L5,L5,L5,21,L5
2MASS J17320014+2656228,L2beta,L1,L1,46,L1
2MASS J1732339+250549,M8beta,M8beta,M8beta,77,d/sdM8
2MASS J17330480+0041270,d/sdM7,d/sdM7,d/sdM7,23,d/sdM5
UCAC4 535-065571,M6,M5,M6,256,M6
2MASS J17364839+0220426,M8beta,M8,M8beta,48,M8
WISE J173859.27+614242.1,L6gamma,L6gamma,L6gamma,24,L6gamma
2MASS J17392515+2454421,L4,L4,L4,27,L4
WISE J17395322+5532451,M8beta,M8beta,M8beta,199,M8beta
WISE J17405782+1317094,L9,L9,L9,16,L9
WISE J174102.78-464225.5,L6gamma,L6gamma,L6gamma,63,L6gamma
WISE J174113.12+132711.9,T5,T5,T5,4,T5
2MASSI J1743348+584411,L0,L1,L1,133,L1
2MASS J17440969+5135032,L0beta,L0beta,L1beta,24,L1beta
2MASS J17461199+5034036,L4,L4,L4,47,L3
2MASS J1748092+113944,M6,d/sdM6,d/sdM6,40,d/sdM8
WISE J174928.57-380401.6,esdM0,esdM0,esdM0,109,esdM0
SDSS J175024.01+422237.8,T2,T2,T2,20,T2
2MASS J17502484-0016151,L4,L4,L4,98,L4
2MASS J1754544+164920,T5,T5,T5,26,T5
WISE J175510.28+180320.2,T3,T3,T2,26,T3
2MASS J17565620-4805096,L1,L1,L1,140,L1
SDSS J175805.46+463311.9,T6,T7,T7,11,T7
2MASS J18000116-1559235,L3,L3,L3,101,L3
WISEP J180026.60+013453.1,L8,L8,L8,163,L8
2MASSI J1807159+501531,L2beta,L2beta,L2beta,118,L2beta
WISE J180901.07+383805.4,T7,T7,T7,3,T7
LSPM J1810+4309,sdM4,sdM4,sdM4,56,sdM4
2MASS J18112466+3748513,sdM9,sdM9,sdL0,4,d/sdM9
SIMP J18115567+2728407,L1,L2,L1,36,L1
2MASS J18212815+1414010,L5,L5,L5,148,L5
2MASS J1822433+531850,M6,M6,M6,55,M6
2MASS J18244344+2937133,M6,M6,M6,42,M6
2MASS J18282794+1453337,M9,M9,M9,24,M9
2MASS J18283572-4849046,T5,T6,T6,6,T6
2MASS J18284076+1229207,d/sdM8,d/sdM8,d/sdM8,94,d/sdM8
2MASS J1835379+325954,M8,M8,M8,19,M8
2MASS J18355309-3217129,d/sdM5,d/sdM5,d/sdM5,45,d/sdM5
2MASS J1839059+365547,d/sdM6,M6,d/sdM7,43,d/sdM7
SDSS J183929.17+442438,M8,M8,M8,112,M8
2MASSW J1841086+311727,L5,L5,L5,47,L5
2MASS J18411320-4000124,M8beta,M8beta,M8beta,26,M8beta
LHS 3406,M8beta,M8beta,M8beta,114,M8
2MASS J18451926+38534884,M0,M0,M0,206,M0
WISE J185215.76+353716.7,T7,T7,T7,5,T7
2MASS J1852192+351453,M6,M6,M6,30,M6
2MASS J18530004-4133275,d/sdM7,d/sdM7,d/sdM7,34,d/sdM4
WISE J18584722-2420518,M8beta,M8beta,M8beta,88,M8beta
2MASS J19010601+4718136,T5,T5,T5,20,T5
WISE J190624.74+450807.1,T6,T6,T6,13,T6
WISE J19072256+4727453,L6,L6,L6,36,L6
DENIS-P J1909081-193748,L2beta,L2beta,L2beta,95,L2beta
2MASS J19163888-3700026,L0,L0,L0,19,L1
WISE J191915.54+304558.4,L9,L9,L9,55,L9
2MASS J19233810-3308410,M8gamma,M8,M8beta,175,M7gamma
NLTT 47780,M7,d/sdM8,M8beta,14,M7gamma
2MASS J19285196-4356256,L6,L6,L6,50,L6
SSSPM 1930-4311,sdM7,sdM7,sdM7,93,sdM8
2MASS J19310458-0306186,M6,M6,M6,167,M6
WISE J19323571+0133556,M0,M0,M0,8,M0
DENIS JJ1934511-184134,M8,M8,M8,97,M8
2MASS J19355595-2846343,L0beta,L0beta,L2beta,130,L2beta
2MASS J19390462-4239251,L0,M9,L0,11,M9
WISE J194128.98-342335.8,d/sdM7,d/sdM8,d/sdM8,62,M7
2MASS J19415458+6826021,L2,L2,L2,27,L2
LHS 3480,M6,M4,M6,90,d/sdM6
2MASS J19445221-0831036,d/sdM8,M6beta,d/sdM6,46,d/sdM6
2MASS J19464850-1145202,L0,M9,L0,84,M9
2MASS J19475198-3438572,M8gamma,d/sdM8,M7gamma,25,M7gamma
2MASS J19495702+6222440,L2,L2beta,L1beta,17,L1beta
WISE J195113.62-331115.7,L1,L2,L1,37,L1
WISE J195311.04-022954.7,d/sdL1,d/sdL1,d/sdL1,34,M9gamma
2MASS J19561542-1754252,M8,M8,M8,78,M8
LEHPM 2-15,sdM7,sdM7,sdM7,173,sdM7
2MASS J20014571-3805580,M4,M4,M4,12,M4
2MASS J20033545+1158552,M6,M6,M6,24,M6
2MASSI J2004536-141622,M8,M8,M8,221,M8
WISE J20070619-0409032,M8beta,M8beta,M8beta,98,M8beta
WISE J200804.71-083428.5,T5,T5,T5,11,T5
DENIS J20131080-1242440,L2beta,L2beta,L2beta,73,L2beta
2MASS J20135152-2806020,L0,M9beta,L0,128,M9gamma
2MASS J20140681-0036482,d/sdM7,d/sdM7,M7,12,M7
WISE J20150266-0726503,d/sdM7,d/sdM5,d/sdM5,39,M7
2MASS J20263647+0439400,M9,M9,M9,121,L0
SDSS J202820.32+005226.5,L2,L2,L2,166,L2
2MASS J20283175+6925116,M5,M4,M5,12,M5
2MASS J20343769+0827009,L1,L1,L1,105,L1
2MASS J2035203-311008,M8beta,M8beta,M8beta,154,M8beta
2MASS J20364425-0847138,d/sdM8,d/sdM8,d/sdM8,201,d/sdM8
LHS 3566,M6gamma,M6beta,d/sdM6,64,d/sdM6
WISE J204027.24+695923.7,sdM9,sdM9,sdL0,53,sdL0
2MASS J20414283-3506442,L2,L2,L2,56,L2
LEHPM 2-349,esdM0,esdM0,esdM0,16,esdM0
SDSS J204317.69-155103.4,L9,L9,L9,22,L9
SDSS J204724.7+142152,M8,M8,M8,9,M8
SDSS J204749.61-071818.3,L9,L9,L9,30,L9
2MASS J20494090+1140068,M8beta,M6beta,M8beta,32,M8beta
LEHPM 2-246,M6,M6,d/sdM6,97,M6
WISEA J205202.06-204313.0,L9,L5,L5,23,L5
LEHPM 2-381,M8,M8,M8,175,M8
2MASSI J2054358+151904,L1beta,L1beta,L1beta,51,L1beta
2MASS J2055213+194157,M5,M5,M5,48,M6
2MASSI J2057153+171515,L1beta,L1beta,L1beta,55,L1beta
2MASSI J2057540-025230,L2beta,L2beta,L2beta,195,L2beta
2MASS J2058508-391320,M6,d/sdM6,M6,19,M6
2MASSI J2104149-103736,L2,L2beta,L0beta,51,L2
2MASS J21050130-0533505,M8beta,M7beta,M8beta,54,M8beta
SDSS J210515.30-003701.5,L0beta,L2,L1,20,L2beta
SDSS J21071053+05014555,M6,M6,M6,20,M6
2MASSI J2107316-030733,M9,L1,L0,120,L1
2MASS J21075409-4544064,L0,L0beta,L2,45,L2
2MASS J21100889+2132483,M8,M8,M8,47,M8
2MASS J21115335-0644172,M9,M9,L0,32,L0
2MASS J2115579+084115,M6,d/sdM6,d/sdM6,27,d/sdM6
2MASS J21163374-0729200,L3beta,L3beta,L3beta,37,L7
2MASS J21171733-1836170,L1,L1,L1,67,L1
WISE J211807.07-321713.5,L2beta,L1beta,L2beta,30,L2beta
HB 2115-4518,M8,M8,M8,108,M8
SDSS J211846.77-001044.6,L1,L1,L1,35,L1
2MASS J21203387-0747208,L4,L2,L3,48,L3
SDSS J212033.89+102159,M8,M8,M8,104,M8
WISE J212321.92-261405.1,T6,T6,T6,2,T6
2MASS J21233110-2345180,M8beta,M8beta,M8beta,109,M7gamma
WISE J212354.78-365223.4,L2beta,L2beta,L0beta,26,L2beta
SDSS J212413.89+010000.3,T5,T5,T5,12,T5
2MASS J21243864+1849263,L9,L9,L9,30,L9
HB 2124-4228,M8,M8,M8,104,M8
2MASS J2129426-025836,M2,M2,M3,47,sdM4
HB 2126-4459,M8,M8,M8,75,M8
2MASS J21312183-0947595,L0,M9,L0,15,L0
2MASS J21324898-1452544,T4,T4,T4,13,T4
SDSS J213307.94+232159,M9,L0,M8,93,M8
LHS 6379,M5,M4,M5,191,M5
2MASS J21363029+0515329,M8,M8,M8,207,M8
2MASS J21371044+1450475,L1,L1,L1,140,L1
DENIS J21391360-3529500,L1,L1,L1,48,L1
2MASS J21392224+1124323,M8,M8,M8,15,M8
2MASS J21395208+2148397,L6,L6,L6,35,L1gamma
2MASS J21403907+3655563,M9,M9beta,M9gamma,27,M9gamma
SDSS J214046.55+011259.7,L2,L2,L2beta,44,L2beta
2MASS J2142398+312349,M6,M6,d/sdM6,30,d/sdM6
SIMP J21430506-1544394,M8,M8,M8,30,M8
HN Peg B,T2,T3,T3,38,T2
SDSS J214527.82-073434.2,L0,L0,L0,59,L1
2MASS J21472764+0101040,M9,M9,M9,95,M9
SDSS J214956.55+060334,M8,M8,M8,131,M8
2MASS J21512543-2441000,L3beta,L3beta,L3beta,61,L3beta
SDSS J215125.90-000200.7,M9,M9,M9,45,M9
LEHPM 2-314,esdM8,esdM8,esdM8,14,esdM8
2MASS J21513839-4853542,T4,T4,T4,19,T4
2MASS J21513979+3402444,L8,L6,L6,36,L6
SDSS J215339.77+295005,M8,L0,M8,74,M8
2MASS J21542494-1023022,T4,T4,T4,18,T4
2MASS J21543318+5942187,T5,T5,T5,13,T5
LHS 515,esdM4,esdM4,esdM5,206,esdM5
2MASS J21555848+2345307,L2,L2,L2,56,L2
2MASS J2201236+213135,M6,M6,d/sdM6,26,M6
2MASS J22021302-0228558,M9,M8,M8,68,M8
SIMP J22030176-0301107,M8gamma,M8,M8,32,M8
2MASS J22035781+0713492,L1,L2,L1,26,L1
2MASS J22044198-0036510,M9,M9,M9,57,M9
DENIS-P J220622.7-204706,M8,M8,M8,131,M8
2MASSW J2206450-421721,L3beta,L3beta,L3beta,58,L3beta
2MASS J22114470+6856262,L1beta,L2beta,L2,32,L2
2MASS J22120703+3430351,L6,L6,L6,54,L6
SIMP J22130498+1255078,M8,M8,M8beta,10,M8
2MASS J22134491-2136079,L0gamma,L0gamma,L0gamma,76,L0gamma
WISE J221354.68+091139.4,T7,T7,T7,8,T7
PSO J334.8034+11.2278,L5,L5,L5,35,L5
2MASS J221912830+11134060,L5,L5,L5,34,L5
SDSS J2221531+1158219,M8gamma,M8,M7gamma,181,M7gamma
2MASS J22225588-4446197,M8,M8,M8,96,M8
WISE J222409.64-185242.1,d/sdM8,d/sdM8,d/sdM8,52,M7gamma
LHS 3806,sdM2,sdM2,sdM2,78,sdM2
2MASS J22270083-1231482,M5,M6,M5,41,M5
LHS 523,M7gamma,M5,M7,142,M7
PSO J337.4314+16.4215,M9gamma,M9,M9gamma,19,M9gamma
2MASS J22295358+1556180,L2,L2,L2,53,L2
ULAS J222958.30+010217.2,T2,T3,T3,8,T3
SDSS J22304238+0111501,M9,M9,M9,34,M9
LEHPM 1-4807,sdM6,sdM7,sdM6,44,sdM6
WISEA J223343.53-133140.9,T3,T3,T3,12,T3
2MASPJ2234330+291850,M8beta,M8,M8beta,118,M8beta
2MASS J22355013+1227370,M9,M9,M9,61,M9
WISE J223617.59+510551.9,T5,T5,T5,42,T5
WISE J223729.52-061434.4,T5,T5,T5,4,T5
G 216-7B,M9,M9,M9,100,M9
2MASSI J2238074+435317,L2beta,L2,L2beta,177,L1
WISE J223937.55+161716.1,T3,T3,T3,35,T3
2MASS J2241554+164752,M5,M5,M5,71,M5
SDSS J22434553-08215302,M8gamma,M8beta,M8beta,44,M8beta
2MASS J22453832-0722060,sdM7,sdM7,sdM7,22,sdM7
SDSS J224605.41+141640.6A,M4,sdM4,sdM4,132,M3
2MASS J22465014-0643357,M6,M6,M6,60,M6
2MASS J22470170+1955286,M8,M8,M8,94,M8
2MASS J22483513+1301453,L1,L1,L1,15,L1
SIMP J22484809-0126570,L1,L1,L1,24,M9gamma
SDSS J225003.72+143046.7,M9,M9,M9,94,M9
2MASSI J2252014-181558,M9,M9,M9,110,M9
HD 216405C,M8,M8beta,M8beta,14,M8beta
SIMP J22543828+1640488,L1,L1,L1,71,L1
WISE J225540.75-311842.0,T8,T8,T8,3,T8
ULAS J22585405+0113512,M8,M8,M8,49,M8
SDSS J225913.88-005158.2,L2,L1,L2,48,L2
PSO J344.8146+20.1917,L3gamma,L3,L3gamma,30,L3gamma
2MASS J22593244+4450284,M7gamma,M7,M7gamma,105,M7gamma
2MASS J2300152+371720,d/sdM7,d/sdM5,sdM7,28,sdM7
WISE J230133.32+021635.0,T6,T6,T6,7,T6
2MASS J23023319-0935188,M8,M8,M8,9,M8
2MASS J2306292-050227,M8beta,M8beta,M8beta,143,M8beta
SDSS J230809.9-313122,M7beta,M7beta,M8beta,84,M8beta
DENIS J2308113-272200,L1beta,L2beta,L2beta,122,L2beta
2MASS J23092857+3246175,M8,M8,M8,47,M8
SSSPM J2310-1759,L1,L1,L1,111,L1
NLTT 56194,M6,M6,M6,245,M6
SDSS J231725.15-005433.6,M8,M8,M8,68,M8
2MASS J23174712-4838501,L3beta,L4beta,L3beta,63,L3beta
2MASS J23185497-1301106,T4,T4,T4,19,T4
WISE J231939.14-184404.4,T8,T7,T7,2,T7
LHS 3933,M6,d/sdM7,M7gamma,90,M7gamma
2MASS J2320292+412341,L0,L1,L0,117,L1
2MASS J23211254-1326282,L2beta,L1beta,L2beta,132,L1
SDSS J232136.11-002819.1,M8,M8,M8,50,M8
WISE J232219.45-140726.2,d/sdL1,d/sdL1,d/sdL1,39,d/sdL1
2MASS J2322587+430146,M6,d/sdM6,M6,24,M6
WISE J23230708+0541130,L9,L9,L9,18,L5
SDSS J232313.4-024435,M8,M8,M8,99,M8
2MASS J23254530+4251488,L9,L9,L9,27,L6
2MASS J2325560-025950,L1,L1gamma,L1gamma,78,L1gamma
2MASS J23270985+2341364,M7,d/sdM5,M7,21,M7
WISE J232728.74-273056.6,L9,L9,L9,34,L9
2MASS J23291290+2704152,M7,d/sdM7,M8beta,67,M7gamma
2MASS J23294790-1607550,M9,M9,M9,161,M9
LSPM J2329+5055,sdM7,sdM5,sdM7,53,sdM5
2MASS J23302258-0347189,L1,L1,L1,136,L1
LSPM J2331+4607N,d/sdM7,sdM5,d/sdM5,42,sdM7
LSPM J2331+4607S,sdM5,sdM6,sdM6,140,sdM5
2MASS J23312378-4718274,T5,T5,T5,6,T5
2MASS J23312935+1552220,L0,L0,L0,89,L0
2MASS J23313131+2041273,L4,L4,L3,76,L3
SDSS J233224.38-005025,M8beta,M8beta,M8beta,92,M8beta
SIMP J23324336-1249383,L1beta,L1beta,L1beta,21,L2beta
LSPM J2332+5102,sdM4,sdM5,d/sdM4,60,sdM4
WISE J23333346+0251284,L6,L6,L6,26,L6
SDSS J233350.76-000011.3,M8,M8,M8,41,M8
2MASS J23335838+0050110,M9,L0,M9,39,M8
2MASS J23343177-1509294,M8,M8,M8,67,M8
NLTT 57259,sdM4,sdM4,sdM4,26,sdM4
NLTT 57262,M1,M1,M1,125,M3
LSPM J2334+0250,d/sdM5,sdM5,sdM7,85,M6gamma
SDSS J23352642+0817213,L0,L0,M9,108,L0
SDSS J233548.58+150851.3,M8,M8,M8,17,M8
2MASS J23355852-0013040,M8,M8,M8,32,M8
2MASS J23363834+4523306,M8beta,M8beta,M8beta,23,M8beta
LP 402-58,M7beta,M7beta,M8beta,180,M8beta
SDSS J23371664-09332480,M8,M8,M8,148,M8
2MASS J23381868-4726132,M9,M9,M9,88,M9
WISE J234026.61-074508.1,T7,T6,T6,9,T7
2MASS J2341286-113335,M8beta,M8beta,M8beta,156,M8beta
WISE J234228.98+085620.2,T6,T6,T6,8,T6
2MASS J23443744-0855075,M9,L0,M9,37,M9
SDSS J234654.7-315353,M8,M8,M8,54,M8
2MASSI J2347367+270206,M9,M9,M9,152,M9
2MASS J23480816+4052343,M8beta,M8beta,M8beta,23,M8beta
WISE J234841.10-102844.1,T7,T7,T7,6,T7
2MASS J23512200+3010540,L7,L7,L7,68,L7
1RXS J2351+3127B,M8gamma,M8gamma,M8,84,M9gamma
2MASS J23515044-2537367,M9,M9,M9,248,M9
2MASS J2352050-110043,M8beta,M8beta,M8beta,303,M8
2MASS J23531922+3656457,M9,M8,M9,55,M9
DENIS-P J2353-0833,M8,M8,M8,222,M8
WISE J235408.36+551854.5,d/sdM8,d/sdM8,d/sdM8,71,d/sdM8
WISE J23542231-0811297,L2gamma,L2gamma,L2gamma,24,L2gamma
DENIS J23545990-1852210,L1,L1,L1,118,L1
2MASSI J2356547-155310,T5,T5,T5,18,T5
WISE J235716.49+122741.8,T6,T6,T6,8,T6
